"SCHOOL","STATE","CITY","NOC","PROGRAM","TYPE","DEPARTMENT","DELIVERY","DURATION","PREREQ","LINK","LOC_LAT","LOC_LONG"
"University of Alabama at Birmingham","Alabama","Birmingham",1,"Master of Science in Management Information Systems","M","Collat School of Business","Online","30 Credits","Not Available","http://businessdegrees.uab.edu/mis-degree-masters/",33.5022,-86.8092
"Auburn University","Alabama","Auburn University",1,"Online Master of Business Administration with concentration in Business Analytics","M","Raymond J. Harbert College of Business","Online","36 credit hours","Not Available","http://harbert.auburn.edu/academics/online-programs/mba-online/index.php",32.6002,-85.4924
"The University of Alabama","Alabama","Tuscaloosa",4,"M.S. degree in Applied Statistics, Data Mining Track","M","Manderson Graduate School of Business","Campus","30 hours","math, computer science","http://manderson.cba.ua.edu/academics/departments/masters_program/master_of_science_in_applied_statistics",33.2144,-87.5458
"The University of Alabama","Alabama","Tuscaloosa",4,"Master of Science in Marketing, Specialization in Marketing Analytics","M","Manderson Graduate School of Business","Campus or Online","9 months/30 hours","Not Available","http://manderson.cba.ua.edu/admissions/application_requirements/",33.2144,-87.5458
"The University of Alabama","Alabama","Tuscaloosa",4,"MBA with concentration in Business Analytics","M","Culverhouse College of Commerce","Campus","2 years","Not Available","http://manderson.cba.ua.edu/academics/departments/masters_program/master_of_science_in_applied_statistics",33.2144,-87.5458
"The University of Alabama","Alabama","Tuscaloosa",4,"MS in Operations Management - Decision Analytics Track","M","Manderson Graduate School of Business","Online","30 credit hours","Not Available","http://cost.ua.edu/",33.2144,-87.5458
"University of Alabama in Huntsville","Alabama","Huntsville",1,"Master of Science in Management Science - Business Analytics (MSMS-BA)","M","College of Business Administration","Online or campus","30 credit hours","Not Available","http://www.uah.edu/cba/grad/degrees/analytics",34.7228,-86.6384
"Arizona State University","Arizona","Tempe",1,"Master of Science in Business Analytics","M","W.P. Carey School of Business","Online or Campus","9 month (FT) or 16 month (online)","Not Available","https://programs.wpcarey.asu.edu/masters-programs/business-analytics",33.4219,-111.94
"University of Arizona","Arizona","Tucson",3,"Business Intelligence & Analytics (Certificate NDP)","C","Management Information Systems (MIS) Department, in association with t","Online","9 credits","Not Available","http://grad.arizona.edu/programs/programinfo/BIACRTG",32.2321,-110.951
"University of Arizona","Arizona","Tucson",3,"Master's in Management Information Systems","M","Eller College of Management","Campus","33 Credits","computer science","http://grad.arizona.edu/programs/programinfo/BIACRTG",32.2321,-110.951
"University of Arizona","Arizona","Tucson",3,"Online Master's in Management Information Systems","M","Eller College of Management","Online","33 Credits","computer science","https://misonline.eller.arizona.edu/certificates/business-intelligence",32.2321,-110.951
"University of Arkansas","Arkansas","Fayetteville",3,"Graduate Certificate in Business Analytics","C","Sam M. Walton College of Business","Campus","12 hours","Not Available","http://gsb.uark.edu/business-analytics-certificate/",36.0615,-94.1782
"University of Arkansas","Arkansas","Fayetteville",3,"Master of Information Systems with Business Analytics Concentration","M","Sam M. Walton College of Business","Campus","30 credit hours","computer science","http://gsb.uark.edu/graduate-certificates/business-analytics.php#admissions",36.0615,-94.1782
"University of Arkansas","Arkansas","Fayetteville",3,"Professional Master of Information Systems","M","Sam M. Walton College of Business","Online (one Saturday per month on-campus)","21 months/30 hours","Not Available","http://gsb.uark.edu/master-of-information-systems/mis-enterprise-certificate/certificate-curricula/",36.0615,-94.1782
"University of California-Berkeley","California","Berkeley",3,"Online Master of Information and Data Science (MIDS)","M","School of Information","Online","27 units","Not Available","http://datascience.berkeley.edu/academics/academics-overview/",37.8715,-122.26
"University of California-Berkeley","California","Berkeley",3,"Master of Engineering - Concentration in Data Science & Systems","M","Fung Institute for Engineering Leadership","Campus","1 year","computer science, math","https://datascience.berkeley.edu/admissions/admissions-requirements/",37.8715,-122.26
"University of California-Berkeley","California","Berkeley",3,"Master of Information Management and Systems","M","School of Information","Campus","48 unit","Not Available","http://datascience.berkeley.edu/academics/curriculum/",37.8715,-122.26
"University of San Francisco","California","San Francisco",1,"Master of Science in Analytics","M","College of Arts and Sciences","Campus","38 units / 1 year","statistics, math","http://www.usfca.edu/analytics/",37.7756,-122.451
"California State University-East Bay","California","Hayward",1,"Master of Science in Business Administration: Business Analytics Option","M","College of Business and Economics","Campus","45-53 units","computer science","http://www20.csueastbay.edu/cbe/msba/index.html",37.6571,-122.058
"California State University-Fullerton","California","Fullerton",3,"Certificate in Data Science","C","University Extended Education","Online","5 courses","technical bachelor's degree","http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science",33.8836,-117.885
"California State University-Fullerton","California","Fullerton",3,"Certificate in Health Care Analytics","C","University Extended Education","Campus","9 credits","Not Available","http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science",33.8836,-117.885
"California State University-Fullerton","California","Fullerton",3,"Master of Science in Information Systems and Decision Sciences","M","Mihaylo College of Business and Economics","Campus","18 months/30 hours","Not Available","http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science",33.8836,-117.885
"California State University-Long Beach","California","Long Beach",1,"Master of Science in Applied Statistics","M","Department of Mathematics and Statistics","Campus","30 units","math, statistics","http://www.csulb.edu/divisions/aa/catalog/current/cnsm/mathematics/mathms05.html",33.7828,-118.112
"California State University-San Bernardino","California","San Bernardino",1,"Master of Business Administration (M.B.A.) - Business Intelligence and Information Technology Focus","M","College of Business and Public Administration","Campus","60 units","Not Available","http://bulletin.csusb.edu/colleges-schools-departments/business-public-administration/mba/",34.183,-117.323
"Chapman University","California","Orange",3,"Doctorate in Computational and Data Sciences","M","Schmid College of Science & Technology","Campus","70 Credit Hours","math,statistics,computer science","http://www.chapman.edu/scst/graduate/phd-computational-science.aspx",33.7937,-117.851
"Chapman University","California","Orange",3,"Doctorate in Computational and Data Sciences","M","Schmid College of Science & Technology","Campus","70 - 73 Credits","math,statistics","http://www.chapman.edu/scst/graduate/phd-computational-science.aspx",33.7937,-117.851
"Chapman University","California","Orange",3,"Master of Science in Computational and Data Sciences","M","Schmid College of Science & Technology","Campus","31-34 credits","math, statistics","http://www.chapman.edu/scst/graduate/phd-computational-science.aspx",33.7937,-117.851
"Claremont Graduate University","California","Claremont",1,"Masters of Science in Information Systems & Technology: Concentration in Data Science & Analytics","M","Center for Information Systems and Technology (CISAT)","Campus","36 units","Not Available","http://www.cgu.edu/pages/6650.asp",34.1038,-117.712
"National University","California","La Jolla",2,"Master of Science in Data Analytics","M","School of Engineering, Technology and Media","Campus","54 units","Not Available","http://www.nu.edu/OurPrograms/SchoolOfEngineeringAndTechnology/ComputerScienceAndInformationSystems/Programs/MasterofScienceinDataAnalytics.html",32.9095,-117.244
"National University","California","La Jolla",2,"Master of Science in Health and Life Science Analytics","M","School of Health and Human Services","Campus","58.5 units","Not Available","http://www.nu.edu/Admissions/Graduate/AdmissionsChecklist.html",32.9095,-117.244
"San Jose State University","California","San Jose",1,"Online Business Analytics Certificate","C","Lucas Graduate School of Business","Online","12 units","statistics","http://www.sjsu.edu/lucasschool/bacertificate/",37.3352,-121.881
"Santa Clara University","California","Santa Clara",3,"Master of Science in Business Analytics","M","Leavey School of Business","Campus","50 Credits","statistics, math","https://www.scu.edu/business/ms-business-analytics/",37.3527,-121.938
"Santa Clara University","California","Santa Clara",3,"Master of Science in Information Systems","M","Leavey School of Business","Campus","51 Credits","Not Available","https://www.scu.edu/business/ms-business-analytics/prospective-students/application-checklist/",37.3527,-121.938
"Santa Clara University","California","Santa Clara",3,"MBA with concentration in Data Science and Business Analytics","M","Leavey School of Business","Campus","70 units","Not Available","https://www.scu.edu/business/ms-business-analytics/curriculum/",37.3527,-121.938
"Stanford University","California","Stanford",6,"Biomedical Informatics MS Degree","M","School of Medicine: Department of Biomedial Informatics","Campus","45  hours required","math, statistics, computer science, biology","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults",37.4317,-122.182
"Stanford University","California","Stanford",6,"Data Mining and Applications Graduate Certificate","C","Center for Professional Development","Online","9 units of credit","math","http://biosciences.stanford.edu/prospective/how-to-apply/",37.4317,-122.182
"Stanford University","California","Stanford",6,"M.S. in Statistics: Data Science","M","Department of Statistics","Campus","45 credits","math, statistics","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults",37.4317,-122.182
"Stanford University","California","Stanford",6,"Master of Science in Computational and Mathematical Engineering - Data Science Track","M","Institute for Computational & Mathematical Engineering","Campus","45 Credits","math, computer science","http://scpd.stanford.edu/admissions/tuition-fees",37.4317,-122.182
"Stanford University","California","Stanford",6,"Master of Science In Computer Science, Specialization in Information Management and Analytics","M","Department of Computer Science","Campus","45 units","Not Available","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1209602",37.4317,-122.182
